#,event,date,venue,attendance,city,state,country
42,Bellator 42,2011-04-23,Lucky Star Casino,,Concho, Oklahoma, US
41,Bellator 41,2011-04-16,Cocopah Resort and Casino,,Somerton, Arizona, US
40,Bellator 40,2011-04-09,First Council Casino,,Newkirk, Oklahoma, US
39,Bellator 39,2011-04-02,Mohegan Sun Arena,,Uncasville, Connecticut, US
38,Bellator 38,2011-03-26,Harrah's Tunica Hotel and Casino,,Tunica, Mississippi, US
37,Bellator 37,2011-03-19,Lucky Star Casino,,Concho, Oklahoma, US
36,Bellator 36,2011-03-12,Shreveport Municipal Auditorium,,Shreveport, Louisiana, US
35,Bellator 35,2011-03-05,Tachi Palace Hotel & Casino,,Lemoore, California, US
34,Bellator 34,2010-10-28,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
33,Bellator 33,2010-10-21,Liacouras Center,,Philadelphia, Pennsylvania, US
32,Bellator 32,2010-10-14,Kansas City Power & Light District,,Kansas City, Missouri, US
31,Bellator 31,2010-09-30,L'Auberge du Lac Resort,,Lake Charles, Louisiana, US
30,Bellator 30,2010-09-23,Fourth Street Live!,,Louisville, Kentucky, US
29,Bellator 29,2010-09-16,The Rave,,Milwaukee, Wisconsin, US
28,Bellator 28,2010-09-09,Mahalia Jackson Theater,,New Orleans, Louisiana, US
27,Bellator 27,2010-09-02,Majestic Theatre,600.0,San Antonio, Texas, US
26,Bellator 26,2010-08-26,Kansas City Power & Light District,4000.0,Kansas City, Missouri, US
25,Bellator 25,2010-08-19,Chicago Theatre,,Chicago, Illinois, US
24,Bellator 24,2010-08-12,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
23,Bellator 23,2010-06-24,Fourth Street Live!,,Louisville, Kentucky, US
22,Bellator 22,2010-06-17,Kansas City Power & Light District,,Kansas City, Missouri, US
21,Bellator 21,2010-06-10,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
20,Bellator 20,2010-05-27,Majestic Theatre,1000.0,San Antonio, Texas, US
19,Bellator 19,2010-05-20,Verizon Theater,,Grand Prairie, Texas, US
18,Bellator 18,2010-05-13,Monroe Civic Center,,Monroe, Louisiana, US
17,Bellator 17,2010-05-06,Citi Performing Arts Center: Wang Theatre,1000.0,Boston, Massachusetts, US
