event_num,event,date,venue,location,attendance,event_id
552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,UFC Apex,"Las Vegas, Nevada, U.S.",0,0a1e4436a26314dd4bcb2bee87e92bd5b301c2d255ff6e603824530474788a21
551,UFC 258: Usman vs. Burns,2021-02-13,UFC Apex,"Las Vegas, Nevada, U.S.",0,3083b2d1c694095ddd77c44addc4195c6a086125dbb44b2c8d5c579cd719d839
550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,UFC Apex,"Las Vegas, Nevada, U.S.",0,e7d22709214607bfec44a222cce7f91fe5e6af1fb9258c9388d767689a603c44
549,UFC 257: Poirier vs. McGregor 2,2021-01-24,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,600",626abdc69c8bc33601363afa09ca1291e80c3c1795b4ca9e9a54a51a164f87cc
548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,000",eca458eb863db12aadbccd36e6a17f200505f069b543c57d7abf156bc1766c0d
547,UFC on ABC: Holloway vs. Kattar,2021-01-16,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,000",3d1a2faaa0b6349d5f04e58c9cdbfd3df8b3368440b6e5602c66516eff6fa979
546,UFC Fight Night: Thompson vs. Neal,2020-12-19,UFC Apex,"Las Vegas, Nevada, U.S.",0,134d6212d5f20ea0df78ba78f1e524674655e057e7f4640b4821f4a896530f28
545,UFC 256: Figueiredo vs. Moreno,2020-12-12,UFC Apex,"Las Vegas, Nevada, U.S.",0,05818a732487f8c6eb2b7a4a05cd83649e4a6321ac96f79651c73888770b6955
544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,UFC Apex,"Las Vegas, Nevada, U.S.",0,d4824da960eb82d454ca2f98c6e8d0132898cd2d4d50302a3dace023a62f7de5
543,UFC on ESPN: Smith vs. Clark,2020-11-28,UFC Apex,"Las Vegas, Nevada, U.S.",0,4890ba4d8598e20722bd67bcbc5160debe5bfb4404e7d44ca18391c5c0055b99
542,UFC 255: Figueiredo vs. Perez,2020-11-21,UFC Apex,"Las Vegas, Nevada, U.S.",0,ac6a90df6597f05f2a6ae08cf89e7862ace80670680d72c6472c133314e5696a
541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,UFC Apex,"Las Vegas, Nevada, U.S.",0,e88bd59574b3c31fe77b47bd0763c36f3e88dd81b610131062583f815830aec2
540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,UFC Apex,"Las Vegas, Nevada, U.S.",0,a0ad1d087b449ed6154971aa66eb4fc93e3c5d71d799a8546678935fa4aa2054
539,UFC Fight Night: Hall vs. Silva,2020-10-31,UFC Apex,"Las Vegas, Nevada, U.S.",0,9739a85d6b122793108c634fa82212db5116d4274739b48df58818f7260ac7b8
538,UFC 254: Khabib vs. Gaethje,2020-10-24,du Forum,"Abu Dhabi, United Arab Emirates",0,5956795d008159bbf004ce042f5dfe888a743dda5948b9fe83d057df437d3002
537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,du Forum,"Abu Dhabi, United Arab Emirates",0,38f3581b6c4405006fa562f91980b7723f19bcca00d49ec5c989d23a41d24728
536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,du Forum,"Abu Dhabi, United Arab Emirates",0,26c1523e20b416f7447f52e1652af2cfe6a082386fd895321caef9a959878988
535,UFC on ESPN: Holm vs. Aldana,2020-10-04,du Forum,"Abu Dhabi, United Arab Emirates",0,83cb708c78d5dbc9b9eb607654055c3cde96ae7b0f4523262ee00f27d73145ec
534,UFC 253: Adesanya vs. Costa,2020-09-27,du Forum,"Abu Dhabi, United Arab Emirates",0,ba531575b50324e03e57e55b75461671a8dc761c0104eb6f37a4851c029914c2
533,UFC Fight Night: Covington vs. Woodley,2020-09-19,UFC Apex,"Las Vegas, Nevada, U.S.",0,78660673530e0175b44f606013002fb350612577ec5c9a55dabc5dcbd06b5de8
532,UFC Fight Night: Waterson vs. Hill,2020-09-12,UFC Apex,"Las Vegas, Nevada, U.S.",0,4f4ebbba1442efbb38d2061bb52db160708fec8e9f260c147cc04c8c56e3b2a4
531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,UFC Apex,"Las Vegas, Nevada, U.S.",0,137373c94b27f58c77dafd25aa6e35886d4a1489a7eec5c63ef8bfa534e71964
530,UFC Fight Night: Smith vs. Rakić,2020-08-29,UFC Apex,"Las Vegas, Nevada, U.S.",0,5626bcf1ee374579d66fef03e0896d885a20400816f7095d655fda3c3014911c
529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,UFC Apex,"Las Vegas, Nevada, U.S.",0,4489a0258ffc73c0c0676981e302904ce43ee5d581cc29206f160019215e24f1
528,UFC 252: Miocic vs. Cormier 3,2020-08-15,UFC Apex,"Las Vegas, Nevada, U.S.",0,f03b2a54f285e7a11e5ebce931534ef3894b644fd334047e1fba9def57565253
527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,UFC Apex,"Las Vegas, Nevada, U.S.",0,a0d04f7ec76a9d85e56faa4774a1e71e26ddff09ec31ab749f3bbda1a95675bc
526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,UFC Apex,"Las Vegas, Nevada, U.S.",0,e00d22a63b79a1511ba48a1c4247891efa4ae4d26a2f32626dde5acfc9508392
525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,"Abu Dhabi, United Arab Emirates",0,8aa455b4ec800d9ea6a9212a6364c9e146d0a0ce8168dd4ffa86f033940fd9e1
524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,du Forum,"Abu Dhabi, United Arab Emirates",0,446b7d180ab00ff638af1453571491e838f0f140e073d596f68466de1dd4f762
