event_details,event_date,event_title,fighter1,fighter2,city,state,country
http://ufcstats.com/event-details/abcf7e55a0a9ed89,2019-07-27,UFC 240, Holloway,Edgar,Edmonton,Alberta,Canada
http://ufcstats.com/event-details/9e0f28d1f639ad73,2019-07-20,UFC Fight Night, Dos Anjos,Edwards,San Antonio,Texas,USA
http://ufcstats.com/event-details/2f8f3c69522db931,2019-07-13,UFC Fight Night, De Randamie,Ladd,Sacramento,California,USA
http://ufcstats.com/event-details/6c9383ffab2725a5,2019-07-06,UFC 239, Jones,Santos,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/c0c1bc0766df4c00,2019-06-29,UFC Fight Night, Ngannou,Dos Santos,Minneapolis,Minnesota,USA
http://ufcstats.com/event-details/b16a7e6a627e9789,2019-06-22,UFC Fight Night, Moicano,The Korean Zombie,Greenville,South Carolina,USA
http://ufcstats.com/event-details/e31502e3f79d00c5,2019-06-08,UFC 238, Cejudo,Moraes,Chicago,Illinois,USA
http://ufcstats.com/event-details/cbc071cb20ea59c7,2019-06-01,UFC Fight Night, Gustafsson,Smith,Stockholm,Sweden,
http://ufcstats.com/event-details/6b8f28da9a483049,2019-05-18,UFC Fight Night, Dos Anjos,Lee,Rochester,New York,USA
http://ufcstats.com/event-details/9de7c97e1c0d7927,2019-05-11,UFC 237, Namajunas,Andrade,Rio de Janeiro,Rio de Janeiro,Brazil
http://ufcstats.com/event-details/351264d11286d09a,2019-05-04,UFC Fight Night, Iaquinta,Cowboy,Ottawa,Ontario,Canada
http://ufcstats.com/event-details/c912f676692c353a,2019-04-27,UFC Fight Night, Jacare,Hermansson,Sunrise,Florida,USA
http://ufcstats.com/event-details/7dcf06c1967801c1,2019-04-20,UFC Fight Night, Overeem,Oleinik,Saint Petersburg,Saint Petersburg,Russia
http://ufcstats.com/event-details/b0550072e5f0afa7,2019-04-13,UFC 236, Holloway,Poirier 2,Atlanta,Georgia,USA
http://ufcstats.com/event-details/9649d75defe0dedb,2019-03-30,UFC Fight Night, Barboza,Gaethje,Philadelphia,Pennsylvania,USA
http://ufcstats.com/event-details/487c170da059857d,2019-03-23,UFC Fight Night, Thompson,Pettis,Nashville,Tennessee,USA
http://ufcstats.com/event-details/80eacd4da0617c57,2019-03-16,UFC Fight Night, Till,Masvidal,London,England,United Kingdom
http://ufcstats.com/event-details/e96d8538d3f9d0ed,2019-03-09,UFC Fight Night, Lewis,Dos Santos,Wichita,Kansas,USA
http://ufcstats.com/event-details/2d5fbe2103f97053,2019-03-02,UFC 235, Jones,Smith,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/6546af7ab545b90c,2019-02-23,UFC Fight Night, Blachowicz,Santos,Prague,Czech Republic,
http://ufcstats.com/event-details/a7a79b8efbceaaac,2019-02-17,UFC Fight Night, Ngannou,Velasquez,Phoenix,Arizona,USA
http://ufcstats.com/event-details/b5882371e2a3900d,2019-02-09,UFC 234, Adesanya,Silva,Melbourne,Victoria,Australia
http://ufcstats.com/event-details/84283233ec42be5f,2019-02-02,UFC Fight Night, Assuncao,Moraes 2,Fortaleza,Ceara,Brazil
http://ufcstats.com/event-details/d4da8995fc91e7ef,2019-01-19,UFC Fight Night, Cejudo,Dillashaw,Brooklyn,New York,USA
http://ufcstats.com/event-details/c046100aea0dba9a,2018-12-29,UFC 232, Jones,Gustafsson 2,Los Angeles,California,USA
http://ufcstats.com/event-details/7a703c565ccaa18f,2018-12-15,UFC Fight Night, Lee,Iaquinta,Milwaukee,Wisconsin,USA
http://ufcstats.com/event-details/2a74bbba57058f12,2018-12-08,UFC 231, Holloway,Ortega,Toronto,Ontario,Canada
http://ufcstats.com/event-details/d1d20e651e6cbc02,2018-12-01,UFC Fight Night, Dos Santos,Tuivasa,Adelaide,South Australia,Australia
http://ufcstats.com/event-details/c7ac79839e86ce33,2018-11-30,The Ultimate Fighter, Heavy Hitters Finale,,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/de25520d54eab12d,2018-11-24,UFC Fight Night, Blaydes,Ngannou 2,Beijing,China,
http://ufcstats.com/event-details/aa3153a9941b4d44,2018-11-17,UFC Fight Night, Magny,Ponzinibbio,Buenos Aires,Buenos Aires,Argentina
http://ufcstats.com/event-details/42c96a9c4802e2e1,2018-11-10,UFC Fight Night, Korean Zombie,Rodriguez,Denver,Colorado,USA
http://ufcstats.com/event-details/20821819c401ced8,2018-11-03,UFC 230, Cormier,Lewis,New York City,New York,USA
http://ufcstats.com/event-details/33a331684283900f,2018-10-27,UFC Fight Night, Oezdemir,Smith,Moncton,New Brunswick,Canada
http://ufcstats.com/event-details/1ef0eae31904e534,2018-10-06,UFC 229, Khabib,McGregor,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/852454c572675334,2018-09-22,UFC Fight Night, Marreta,Anders,Sao Paulo,Sao Paulo,Brazil
http://ufcstats.com/event-details/8d49545dadf9b919,2018-09-15,UFC Fight Night, Hunt,Oleinik,Moscow,Moscow,Russia
http://ufcstats.com/event-details/d5ae8074631762fc,2018-09-08,UFC 228, Woodley,Till,Dallas,Texas,USA
http://ufcstats.com/event-details/c0342805a1948cbb,2018-08-25,UFC Fight Night, Gaethje,Vick,Lincoln,Nebraska,USA
http://ufcstats.com/event-details/03b1e846b09f721d,2018-08-04,UFC 227, Dillashaw,Garbrandt 2,Los Angeles,California,USA
http://ufcstats.com/event-details/322a56923b396b4d,2018-07-28,UFC Fight Night, Alvarez,Poirier 2,Calgary,Alberta,Canada
http://ufcstats.com/event-details/4f732e58ed907eff,2018-07-22,UFC Fight Night, Shogun,Smith,Hamburg,Hamburg,Germany
http://ufcstats.com/event-details/b45d6b73f4ca4467,2018-07-14,UFC Fight Night, Dos Santos,Ivanov,Boise,Idaho,USA
http://ufcstats.com/event-details/35585d970300d45a,2018-07-07,UFC 226, Miocic,Cormier,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/8215e4fe24e8e81b,2018-07-06,The Ultimate Fighter, Undefeated Finale,,Las Vegas,Nevada,USA
