event_num,event,date,venue,city,state,country,attendance
24,ONE FC: Dynasty of Champions (Beijing),2014-12-19,Olympic Sports Center Gymnasium,,Beijing, China,5371.0
23,ONE FC: Warrior's Way,2014-12-05,SM Mall of Asia Arena,,Pasay, Philippines,16945.0
22,ONE FC: Battle of the Lions,2014-11-07,Singapore Indoor Stadium,,Kallang, Singapore,11284.0
21,ONE FC: Roar of the Tigers,2014-10-17,Putra Indoor Stadium,,Kuala Lumpur, Malaysia,9839.0
20,ONE FC: Rise of the Kingdom,2014-09-12,Koh Pich Theatre,,Phnom Penh, Cambodia,2745.0
19,ONE FC: Reign of Champions,2014-08-29,Dubai World Trade Centre,,Dubai, United Arab Emirates,5693.0
18,ONE FC: War of Dragons,2014-07-11,National Taiwan University Sports Center,,Taipei, Taiwan,4007.0
17,ONE FC: Era of Champions,2014-06-14,Mata Elang International Stadium,,Jakarta, Indonesia,8125.0
16,ONE FC: Honor and Glory,2014-05-30,Singapore Indoor Stadium,,Kallang, Singapore,11001.0
15,ONE FC: Rise of Heroes,2014-05-02,SM Mall of Asia Arena,,Pasay, Philippines,15847.0
14,ONE FC: War of Nations,2014-03-14,Stadium Negara,,Kuala Lumpur, Malaysia,7536.0
13,ONE FC: Moment of Truth,2013-12-06,SM Mall of Asia Arena,,Pasay, Philippines,13398.0
12,ONE FC: Warrior Spirit,2013-11-15,Putra Indoor Stadium,,Kuala Lumpur, Malaysia,7041.0
11,ONE FC: Total Domination,2013-10-18,Singapore Indoor Stadium,,Kallang, Singapore,10535.0
10,ONE FC: Champions & Warriors,2013-09-13,Istora Senayan,,Jakarta, Indonesia,5264.0
9,ONE FC: Rise to Power,2013-05-31,SM Mall of Asia Arena,,Pasay, Philippines,12872.0
8,ONE FC: Kings and Champions,2013-04-05,Singapore Indoor Stadium,,Kallang, Singapore,9017.0
7,ONE FC: Return of Warriors,2013-02-02,Putra Indoor Stadium,,Kuala Lumpur, Malaysia,6376.0
6,ONE FC: Rise of Kings,2012-10-06,Singapore Indoor Stadium,,Kallang, Singapore,8232.0
5,ONE FC: Pride of a Nation,2012-08-31,Smart Araneta Coliseum,,Quezon City, Philippines,12523.0
4,ONE FC: Destiny of Warriors,2012-06-23,Stadium Negara,,Kuala Lumpur, Malaysia,6153.0
3,ONE FC: War of the Lions,2012-03-31,Singapore Indoor Stadium,,Kallang, Singapore,7714.0
2,ONE FC: Battle of Heroes,2012-02-11,The BritAma Arena,,North Jakarta, Indonesia,3371.0
1,ONE Fighting Championship 1: Champion vs. Champion,2011-09-03,Singapore Indoor Stadium,,Kallang, Singapore,6789.0
