weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 7: Milan,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 8: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 9: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 10: Los Angeles,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Rico Verhoeven,Daniel Ghiță,Unanimous decision,3,3:00,Heavyweight Championship Tournament Final,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Tyrone Spong,Nathan Corbett,TKO,2,1:10,,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Joseph Valtellini,Karim Ghajji,TKO,3,2:53,,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Errol Zimmerman,Hesdy Gerges,TKO,3,0:38,Heavyweight Championship Tournament Reserve Bout,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Rico Verhoeven,Gokhan Saki,Majority decision,3,3:00,Heavyweight Championship Tournament Semi-final,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Daniel Ghita,Anderson Silva,TKO,1,1:56,Heavyweight Championship Tournament Semi-final,Main card,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Sergei Kharitonov,Daniel Sam,Unanimous decision,3,3:00,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Danyo Ilunga,Michael Duut,TKO,1,2:23,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Raymond Daniels,Brian Foster,TKO,1,2:24,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Saulo Cavalari,Filip Verlinden,Unanimous decision,3,3:00,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Steve Moxon,Reece McAllister,KO,3,0:28,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Featherweight,Gabriel Varga,Jose Palacios,Unanimous decision,3,3:00,,Superfight Series,Glory 11: Chicago,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Robin van Roosmalen,KO,2,1:44,Lightweight Championship Tournament Final,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Joe Schilling,Unanimous decision,3,3:00,,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Ben Edwards,Jamal Ben Saddik,KO,3,2:52,,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Warren Stevelmans,Unanimous decision,3,3:00,Lightweight Championship Tournament Reserve Bout,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Giorgio Petrosyan,KO,3,0:43,Lightweight Championship Tournament Semi-final,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Davit Kiria,Unanimous decision,3,3:00,Lightweight Championship Tournament Semi-final,Main card,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Artem Vakhitov,Nenad Pagonis,Unanimous decision,3,3:00,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Brian Collette,Warren Thompson,KO,1,1:03,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jhonata Diniz,Igor Jurković,KO,1,,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Francois Ambang,Eddie Walker,KO,3,1:40,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Saulo Cavalari,Mourad Bouzidi,KO,1,1:23,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Thiago Michel Silva,Paul Marfort,Unanimous decision,3,3:00,,Superfight Series,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Casey Greene,John King,KO,1,2:59,,Undercard,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,John Bowman,Villi Bello,KO,3,2:50,,Undercard,Glory 12: New York,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Rico Verhoeven,Peter Aerts,Decision (split),3,3:00,,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Nieky Holzken,Joseph Valtellini,KO (right hook),3,2:44,Welterweight Championship Tournament Final,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Daniel Ghiță,Errol Zimmerman,KO (left hook),1,0:35,,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
90kg Catchweight,Makoto Uehara,Dustin Jacoby,Decision (split),3,3:00,,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Joseph Valtellini,Raymond Daniels,KO (high kick),3,1:20,Welterweight Championship Tournament Semi-final,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Nieky Holzken,Karapet Karapetyan,Decision (unanimous),3,3:00,Welterweight Championship Tournament Semi-final,Main card,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Featherweight,Mosab Amrani,Yuta Kubo,Decision (unanimous),3,3:00,,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Artur Kyshenko,Masayuki Kenmun,Decision (unanimous),3,3:00,,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Alexander Stetsurenko,Karim Ghajji,Decision (unanimous),3,3:00,Welterweight Championship Tournament Reserve Bout,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Anderson Silva,Remy Bonjasky,Decision (unanimous),3,3:00,,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Hesdy Gerges,Ewerton Teixeira,Decision (unanimous),3,3:00,,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Sergey Kharitonov,Jerome Le Banner,Decision (unanimous),3,3:00,,Superfight Series,Glory 13: Tokyo,https://en.wikipedia.org//wiki/2013_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao (c),Serhiy Adamchuk,Decision (Unanimous),5,3:00,For the Glory Featherweight Championship,Main card,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Troy Jones,Omari Boyd,Decision (Unanimous),3,3:00,,Main card,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Richard Abraham,Charles Rodriguez,Decision (Unanimous),3,3:00,,Main card,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Wensheng Zhang,Lorawnt-t Nelson,Decision (Split),3,3:00,,Main card,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Nate Richardson,Decision (Unanimous),3,3:00,,Main card,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Jason Wilnis,Jacob Rodriguez,TKO (Leg Injury),3,0:15,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Matt Baker,Ryot Waller,TKO (Referee Stoppage),2,1:57,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Bailey Sugden,Quade Taranaki,Decision (Unanimous),3,3:00,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Bekah Irwin,Stephanie Skinner,Decision (Unanimous),3,3:00,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Abraham Vidales,Dimitre Ivy,TKO (Retirement),2,2:34,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Joe Taylor,Ivan Galaz,Decision (Split),3,3:00,,Superfight Series,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Demoreo Dennis,James Chapman,TKO (3 Knockdown Rule),2,1:35,,Prelims,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Kou Lee,Sovankesa Som,Decision (Unanimous),3,3:00,,Prelims,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Peter Stanonik,Kemaan Diop,Decision (Split),3,3:00,,Prelims,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Sean Choice,Justin Moss,Decision (Majority),3,3:00,,Prelims,Glory 63: Houston,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Cedric Doumbe,Harut Grigorian (c),TKO (3 Knockdown Rule),2,2:59,For the Glory Welterweight Championship,Main card,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen (c),Tiffany van Soest,Decision (Split),5,3:00,For the Glory Super Bantamweight Championship,Main card,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Daniel Škvor,KO (Punch),3,1:43,,Main card,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Donegi Abena,Michael Duut,Decision (Split),3,3:00,,Main card,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Alim Nabiev,Murthel Groenhart,Decision (Split),3,3:00,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Zinedine Hameur-Lain,Artur Gorlov,DQ (Intentional Foul),1,4:45,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Anvar Boynazarov,Abdellah Ezbiri,Decision (Unanimous),3,3:00,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Mike Lemaire,Arian Sadiković,Decision (Split),3,3:00,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Donovan Wisse,Matěj Peňáz,TKO (Body Punch),2,2:49,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Aleksei Ulianov,Massaro Glunder,Decision (Unanimous),3,3:00,,Superfight Series,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Michaël Palandre,Guerric Billet,Decision (Split),3,3:00,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Ertugrul Bayrak,Jakob Styben,Decision (Split),3,3:00,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Sarah Moussaddak,Jiwaen Lee,Decision (Split),3,3:00,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Dani Traoré,Jérémy Antonio,TKO (3 Knockdown Rule),2,1:30,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,River Daz,Vincent Foschiani,Decision (Split),3,3:00,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Mathieu Ceva,Daniel Krost,Decision (Split),3,3:00,,Prelims,Glory 64: Strasbourg,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Alex Pereira (c),Jason Wilnis,KO (Flying Knee),1,1:31,For the Glory Middleweight Championship,Main card,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Marat Grigorian,Sitthichai Sitsongpeenong (c),Decision (Unanimous),5,3:00,For the Glory Lightweight Championship,Main card,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Donovan Wisse,Yousri Belgaroui,Decision (Unanimous),3,3:00,,Main card,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Eyevan Danenberg,Yassine Ahaggan,KO (Knees to the Body),1,1:53,,Main card,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Josh Jauncey,Decision (Unanimous),3,3:00,,Superfight Series,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Cihad Kepenek,Junior Tafa,Decision (Unanimous),3,3:00,,Superfight Series,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Thong Fairtex,Bailey Sugden,Decision (Split),3,3:00,,Superfight Series,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Luke Whelan,Itay Gershon,Decision (Split),3,3:00,,Superfight Series,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Sofia Olofsson,Christi Brereton,Decision (Split),3,3:00,,Superfight Series,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Kevin van Heeckeren,Matt Baker,Decision (Unanimous),3,3:00,,Prelims,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Ammari Diedrick,Dani Traoré,Decision (Split),3,3:00,,Prelims,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Jos van Belzen,Percy de Maeyer,TKO (3 Knockdown Rule),1,2:08,,Prelims,Glory 65: Utrecht,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Cedric Doumbe (c),Alim Nabiev,KO (Punches),2,2:48,For the Glory Welterweight Championship,Main card,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen (c),Sofia Olofsson,TKO (Doctor Stopage),1,2:06,For the Glory Super Bantamweight Championship,Main card,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Hamicha,Adam Hadfield,TKO (Punch to the Body),1,1:35,,Main card,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Felipe Micheletti,Luis Tavares,Decision (Split),3,3:00,,Main card,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov (c),Donegi Abena,Decision (Split),5,3:00,For the Glory Light Heavyweight Championship,Superfight Series,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Artur Gorlov,Jegish Yegoian,Decision (Unanimous),3,3:00,,Superfight Series,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Stoyan Koprivlenski,Mohammed Jaraya,TKO (Doctor Stopage),3,2:13,,Superfight Series,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Antonio Plazibat,Nordine Mahieddine,Decision (Unanimous),3,3:00,,Superfight Series,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Aleksei Ulianov,Masaya Kubo,Decision (Unanimous),3,3:00,,Superfight Series,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Michaël Palandre,Vlad Tuinov,Decision (Split),3,3:00,,Prelims,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Matěj Peňáz,Matthieu Ceva,TKO (3 Knockdown Rule),1,1;46,,Prelims,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Lighteight 70 kg,Guerric Billet,William Goldie-Galloway,Decision (Unanimous),3,3:00,,Prelims,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Sarah Moussaddak,Aurore Dos Santos,Decision (Unanimous),3,3:00,,Prelims,Glory 66: Paris,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao (c),Anvar Boynazarov,Decision (Unanimous),5,3:00,For the Glory Featherweight Championship,Main card,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Houssam El Kasri,Decision (Unanimous),3,3:00,,Main card,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Jahfarr Wilnis,Decision (Unanimous),3,3:00,,Main card,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Elvis Gashi,Justin Houghton,KO (Body Kick),1,0:23,,Main card,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Abraham Vidales,Trevor Ragin,Decision (Unanimous),3,3:00,,Main card,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Kevin VanNostrand,Serhiy Adamchuk,Decision (Unanimous),3,3:00,,Superfight Series,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Bekah Irwin,Taylor Jenkins,Decision (Unanimous),3,3:00,,Superfight Series,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
